Latest Results
t,`Main.RPPV1.xP`,`Main.RPPV1.yP`,`Main.SP1.psi`
0.000000000000000000,0.707106781186547462,0.707106781186547573,-2.356194490192344837
0.000100000000000000,0.708166638194120179,0.706045333210862602,-2.354694500491230080
0.000200000000000000,0.709224887377305269,0.704982311214011004,-2.353194531317766014
0.000300000000000000,0.710281526494553783,0.703917717578245394,-2.351694582566898450
0.000400000000000000,0.711336553307536867,0.702851554688864399,-2.350194654133738847
0.000500000000000000,0.712389965581148088,0.701783824934210543,-2.348694745913566528
0.000600000000000000,0.713441761083509207,0.700714530705665473,-2.347194857801827794
0.000700000000000000,0.714491937585974068,0.699643674397646853,-2.345694989694132815
0.000800000000000000,0.715540492863130484,0.698571258407607476,-2.344195141486263623
0.000900000000000000,0.716587424692807340,0.697497285136028489,-2.342695313074164787
0.001000000000000000,0.717632730856077150,0.696421756986417728,-2.341195504353949630
0.001100000000000000,0.718676409137260386,0.695344676365306724,-2.339695715221896233
0.001200000000000000,0.719718457323929250,0.694266045682246702,-2.338195945574452317
0.001300000000000000,0.720758873206911788,0.693185867349806029,-2.336696195308231250
0.001400000000000000,0.721797654580296988,0.692104143783565440,-2.335196464320012044
0.001500000000000000,0.722834799241438231,0.691020877402115596,-2.333696752506741134
0.001600000000000001,0.723870304990956392,0.689936070627054421,-2.332197059765532821
0.001700000000000001,0.724904169632745399,0.688849725882982322,-2.330697385993667048
0.001800000000000001,0.725936390973975887,0.687761845597499533,-2.329197731088590295
0.001900000000000001,0.726966966825099203,0.686672432201202443,-2.327698094947916019
0.002000000000000000,0.727995894999850846,0.685581488127681382,-2.326198477469425541
0.002100000000000000,0.729023173315256012,0.684489015813514845,-2.324698878551065828
0.002200000000000000,0.730048799591632158,0.683395017698268714,-2.323199298090950826
0.002300000000000000,0.731072771652594100,0.682299496224490820,-2.321699735987361457
0.002400000000000000,0.732095087325057903,0.681202453837708832,-2.320200192138745177
0.002500000000000000,0.733115744439244210,0.680103892986426595,-2.318700666443716862
0.002599999999999999,0.734134740828683796,0.679003816122119686,-2.317201158801056593
0.002699999999999999,0.735152074330220562,0.677902225699232974,-2.315701669109713201
0.002799999999999999,0.736167742784015755,0.676799124175177402,-2.314202197268800276
0.002899999999999999,0.737181744033552078,0.675694514010325986,-2.312702743177601050
0.002999999999999999,0.738194075925638127,0.674588397668010042,-2.311203306735562180
0.003099999999999999,0.739204736309706401,0.673480777615291237,-2.309703887843347125
0.003199999999999998,0.740213723038506854,0.672371656322210409,-2.308204486401816524
0.003299999999999998,0.741221033969001741,0.671261036260800692,-2.306705102310703914
0.003399999999999998,0.742226666961485537,0.670148919906048968,-2.305205735469920025
0.003499999999999998,0.743230619879588383,0.669035309735893424,-2.303706385779559440
0.003599999999999998,0.744232890590279750,0.667920208231220225,-2.302207053139896153
0.003699999999999998,0.745233476963873986,0.666803617875859400,-2.300707737451386237
0.003799999999999997,0.746232376874031433,0.665685541156583516,-2.299208438614667394
0.003899999999999997,0.747229588197765859,0.664565980563102010,-2.297709156530558960
0.003999999999999997,0.748225108815447348,0.663444938588057975,-2.296209891100060130
0.004099999999999998,0.749218936610805186,0.662322417727026935,-2.294710642224353947
0.004199999999999998,0.750211069470934855,0.661198420478509741,-2.293211409804801981
0.004299999999999998,0.751201505286299032,0.660072949343933124,-2.291712193742950099
0.004399999999999999,0.752190241950733918,0.658946006827643149,-2.290212993940523578
0.004499999999999999,0.753177277361453124,0.657817595436902880,-2.288713810299429774
0.004599999999999999,0.754162609419050889,0.656687717681888716,-2.287214642721757230
0.004699999999999999,0.755146236027507078,0.655556376075687841,-2.285715491109776121
0.004800000000000000,0.756128155094190846,0.654423573134292891,-2.284216355365937812
0.004900000000000000,0.757108364529865629,0.653289311376599846,-2.282717235392874855
0.005000000000000000,0.758086862248691706,0.652153593324404701,-2.281218131093401880
0.005100000000000000,0.759063646168232298,0.651016421502398468,-2.279719042370514259
0.005200000000000001,0.760038714209456234,0.649877798438165177,-2.278219969127389000
0.005300000000000001,0.761012064296742841,0.648737726662177550,-2.276720911267385183
0.005400000000000001,0.761983694357885821,0.647596208707793553,-2.275221868694041305
0.005500000000000001,0.762953602324097369,0.646453247111253293,-2.273722841311079712
0.005600000000000002,0.763921786130013381,0.645308844411674021,-2.272223829022402164
0.005700000000000002,0.764888243713695126,0.644163003151049463,-2.270724831732092941
0.005800000000000002,0.765852973016636129,0.643015725874243049,-2.269225849344417512
0.005900000000000002,0.766815971983764944,0.641867015128985918,-2.267726881763822533
0.006000000000000003,0.767777238563449371,0.640716873465873471,-2.266227928894935850
0.006100000000000003,0.768736770707500350,0.639565303438361932,-2.264728990642568274
0.006200000000000003,0.769694566371177835,0.638412307602762685,-2.263230066911708249
0.006300000000000004,0.770650623513192135,0.637257888518242055,-2.261731157607530740
0.006400000000000004,0.771604940095710456,0.636102048746814863,-2.260232262635387457
0.006500000000000004,0.772557514084360020,0.634944790853341656,-2.258733381900814408
0.006600000000000004,0.773508343448231939,0.633786117405526706,-2.257234515309527900
0.006700000000000005,0.774457426159886442,0.632626030973911235,-2.255735662767426319
0.006800000000000005,0.775404760195355980,0.631464534131872313,-2.254236824180587906
0.006900000000000005,0.776350343534149778,0.630301629455618295,-2.252737999455273865
0.007000000000000005,0.777294174159258056,0.629137319524185501,-2.251239188497926591
0.007100000000000006,0.778236250057156020,0.627971606919433767,-2.249740391215169666
0.007200000000000006,0.779176569217808312,0.626804494226043341,-2.248241607513806528
0.007300000000000006,0.780115129634672666,0.625635984031511660,-2.246742837300824469
0.007400000000000006,0.781051929304704129,0.624466078926149137,-2.245244080483391080
0.007500000000000007,0.781986966228359837,0.623294781503075046,-2.243745336968855586
0.007600000000000007,0.782920238409602676,0.622122094358214195,-2.242246606664747510
0.007700000000000007,0.783851743855905059,0.620948020090294373,-2.240747889478779342
0.007800000000000007,0.784781480578253698,0.619772561300840463,-2.239249185318844315
0.007900000000000008,0.785709446591153493,0.618595720594172338,-2.237750494093016407
0.008000000000000007,0.786635639912631635,0.617417500577400635,-2.236251815709552559
0.008100000000000007,0.787560058564242382,0.616237903860422431,-2.234753150076888684
0.008200000000000006,0.788482700571069395,0.615056933055919020,-2.233254497103644987
0.008300000000000005,0.789403563961732058,0.613874590779351026,-2.231755856698621088
0.008400000000000005,0.790322646768388704,0.612690879648953746,-2.230257228770797795
0.008500000000000004,0.791239947026740165,0.611505802285735811,-2.228758613229338437
0.008600000000000003,0.792155462776034103,0.610319361313474307,-2.227260009983588862
0.008700000000000003,0.793069192059071004,0.609131559358708996,-2.225761418943072556
0.008800000000000002,0.793981132922205401,0.607942399050741655,-2.224262840017497300
0.008900000000000002,0.794891283415351646,0.606751883021631189,-2.222764273116752509
0.009000000000000001,0.795799641591988238,0.605560013906188410,-2.221265718150907009
0.009100000000000000,0.796706205509161047,0.604366794341974378,-2.219767175030212147
0.009200000000000000,0.797610973227488085,0.603172226969295400,-2.218268643665101347
0.009299999999999999,0.798513942811163835,0.601976314431198700,-2.216770123966187889
0.009399999999999999,0.799415112327962030,0.600779059373470425,-2.215271615844267128
0.009499999999999998,0.800314479849241311,0.599580464444630090,-2.213773119210316942
0.009599999999999997,0.801212043449949229,0.598380532295926693,-2.212274633975494620
0.009699999999999997,0.802107801208625015,0.597179265581336938,-2.210776160051140415
0.009799999999999996,0.803001751207405245,0.595976666957558354,-2.209277697348774439
0.009899999999999996,0.803893891532027061,0.594772739084008073,-2.207779245780099764
0.009999999999999995,0.804784220271832718,0.593567484622817165,-2.206280805257000210
0.010099999999999994,0.805672735519772920,0.592360906238828422,-2.204782375691540786
0.010199999999999994,0.806559435372412703,0.591153006599589914,-2.203283956995967685
0.010299999999999993,0.807444317929933209,0.589943788375354328,-2.201785549082709625
0.010399999999999993,0.808327381296137792,0.588733254239072412,-2.200287151864375623
0.010499999999999992,0.809208623578454800,0.587521406866390428,-2.198788765253756772
0.010599999999999991,0.810088042887942672,0.586308248935645371,-2.197290389163824464
0.010699999999999991,0.810965637339293277,0.585093783127862199,-2.195792023507732615
0.010799999999999990,0.811841405050836462,0.583878012126748724,-2.194293668198816327
0.010899999999999990,0.812715344144543828,0.582660938618692503,-2.192795323150591891
0.010999999999999989,0.813587452746033390,0.581442565292756064,-2.191296988276756785
0.011099999999999988,0.814457728984573137,0.580222894840673797,-2.189798663491190567
0.011199999999999988,0.815326170993085353,0.579001929956847516,-2.188300348707953091
0.011299999999999987,0.816192776908150619,0.577779673338342570,-2.186802043841286292
0.011399999999999987,0.817057544870012142,0.576556127684883846,-2.185303748805614177
0.011499999999999986,0.817920473022579642,0.575331295698851775,-2.183805463515541057
0.011599999999999985,0.818781559513433566,0.574105180085278111,-2.182307187885852429
0.011699999999999985,0.819640802493828979,0.572877783551842712,-2.180808921831516312
0.011799999999999984,0.820498200118700005,0.571649108808868656,-2.179310665267681468
0.011899999999999984,0.821353750546663708,0.570419158569318130,-2.177812418109677850
0.011999999999999983,0.822207451940023870,0.569187935548789881,-2.176314180273017929
0.012099999999999982,0.823059302464775988,0.567955442465512772,-2.174815951673393588
0.012199999999999982,0.823909300290610380,0.566721682040344121,-2.173317732226680121
0.012299999999999981,0.824757443590916739,0.565486656996764037,-2.171819521848932677
0.012399999999999980,0.825603730542788017,0.564250370060872308,-2.170321320456389369
0.012499999999999980,0.826448159327025533,0.563012823961383191,-2.168823127965467279
0.012599999999999979,0.827290728128140640,0.561774021429623294,-2.167324944292768230
0.012699999999999979,0.828131435134361937,0.560533965199524808,-2.165826769355072123
0.012799999999999978,0.828970278537636718,0.559292658007623955,-2.164328603069341828
0.012899999999999977,0.829807256533636295,0.558050102593055652,-2.162830445352722286
0.012999999999999977,0.830642367321759889,0.556806301697549522,-2.161332296122538743
0.013099999999999976,0.831475609105139180,0.555561258065425001,-2.159834155296297631
0.013199999999999976,0.832306980090641080,0.554314974443589348,-2.158336022791687903
0.013299999999999975,0.833136478488873067,0.553067453581531643,-2.156837898526579700
0.013399999999999974,0.833964102514186401,0.551818698231319016,-2.155339782419023020
0.013499999999999974,0.834789850384681675,0.550568711147592205,-2.153841674387250382
0.013599999999999973,0.835613720322210152,0.549317495087563223,-2.152343574349676381
0.013699999999999973,0.836435710552380640,0.548065052811008924,-2.150845482224895910
0.013799999999999972,0.837255819304561832,0.546811387080268108,-2.149347397931686388
0.013899999999999971,0.838074044811887187,0.545556500660236754,-2.147849321389004640
0.013999999999999971,0.838890385311258702,0.544300396318363688,-2.146351252515990904
0.014099999999999970,0.839704839043350693,0.543043076824648030,-2.144853191231966161
0.014199999999999970,0.840517404252614342,0.541784544951632308,-2.143355137456432136
0.014299999999999969,0.841328079187281586,0.540524803474400461,-2.141857091109072186
0.014399999999999968,0.842136862099368888,0.539263855170572737,-2.140359052109752191
0.014499999999999968,0.842943751244681794,0.538001702820301464,-2.138861020378518329
0.014599999999999967,0.843748744882818147,0.536738349206267396,-2.137362995835598412
0.014699999999999967,0.844551841277173643,0.535473797113673489,-2.135864978401401437
0.014799999999999966,0.845353038694943826,0.534208049330244461,-2.134366967996518039
0.014899999999999965,0.846152335407129752,0.532941108646218242,-2.132868964541720480
0.014999999999999965,0.846949729688542097,0.531672977854343753,-2.131370967957961327
0.015099999999999964,0.847745219817803042,0.530403659749878353,-2.129872978166376107
0.015199999999999964,0.848538804077353159,0.529133157130580178,-2.128374995088280652
0.015299999999999963,0.849330480753453521,0.527861472796705811,-2.126877018645172868
0.015399999999999962,0.850120248136190693,0.526588609551005726,-2.125379048758731404
0.015499999999999962,0.850908104519480180,0.525314570198719410,-2.123881085350816100
0.015599999999999961,0.851694048201070419,0.524039357547572804,-2.122383128343470204
0.015699999999999961,0.852478077482547558,0.522762974407770753,-2.120885177658915488
0.015799999999999960,0.853260190669207996,0.521485423592210173,-2.119387233219807154
0.015899999999999959,0.854040386067509427,0.520206707920668143,-2.117889294954143686
0.015999999999999959,0.854818661989457329,0.518926830212655177,-2.116391362786885999
0.016099999999999958,0.855595016752049520,0.517645793288287193,-2.114893436640996160
0.016199999999999957,0.856369448676128187,0.516363599970160791,-2.113395516439643629
0.016299999999999957,0.857141956086386880,0.515080253083344708,-2.111897602106199034
0.016399999999999956,0.857912537311372958,0.513795755455377590,-2.110399693564237289
0.016499999999999956,0.858681190683491136,0.512510109916264889,-2.108901790737539805
0.016599999999999955,0.859447914539009594,0.511223319298471757,-2.107403893550087837
0.016699999999999954,0.860212707218062533,0.509935386436920934,-2.105906001926070026
0.016799999999999954,0.860975567064654612,0.508646314168987645,-2.104408115789876632
0.016899999999999953,0.861736492426665279,0.507356105334495711,-2.102910235066104860
0.016999999999999953,0.862495481655853213,0.506064762775712107,-2.101412359679552644
0.017099999999999952,0.863252533107859876,0.504772289337344082,-2.099914489555223973
0.017199999999999951,0.864007645142214620,0.503478687866532160,-2.098416624618324455
0.017299999999999951,0.864760816122337128,0.502183961212850138,-2.096918764794267087
0.017399999999999950,0.865512044415543635,0.500888112228295990,-2.095420910008665150
0.017499999999999950,0.866261328393048924,0.499591143767291190,-2.093923060187338425
0.017599999999999949,0.867008666429971764,0.498293058686674895,-2.092425215256310533
0.017699999999999948,0.867754056905339244,0.496993859845697938,-2.090927375141807154
0.017799999999999948,0.868497498202089990,0.495693550106021397,-2.089429539770260469
0.017899999999999947,0.869238988707078830,0.494392132331709810,-2.087931709068304276
0.017999999999999947,0.869978526811080899,0.493089609389227912,-2.086433882962777542
0.018099999999999946,0.870716110908795859,0.491785984147435407,-2.084936061380722627
0.018199999999999945,0.871451739398850567,0.490481259477584752,-2.083438244249387061
0.018299999999999945,0.872185410683806617,0.489175438253311723,-2.081940431496219546
