Latest Results
t,`Main.C2.v`,`Main.DI1_2.i`,`Main.DI1_2.v`,`Main.I2.i`
0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.000000000000000000
0.000000050000000000,-0.000005016706127763,0.000000000206556831,0.000531576430681861,-0.000026328192784536
0.000000100000000000,-0.000028844593598637,0.000000000563296119,0.001424806994570889,-0.000069798683344731
0.000000150000000000,-0.000075122651367834,0.000000000959800341,0.002382873254058204,-0.000115388489934860
0.000000200000000000,-0.000144230667277650,0.000000001381417462,0.003364319016778240,-0.000161005798892492
0.000000250000000000,-0.000236069743604957,0.000000001826504947,0.004361710640723737,-0.000206283871360886
0.000000300000000000,-0.000350433440243829,0.000000002295154220,0.005372123273720527,-0.000251086786828055
0.000000350000000000,-0.000487057699645426,0.000000002787623045,0.006393209174641816,-0.000295310361372865
0.000000400000000000,-0.000645628029999291,0.000000003304105848,0.007422677729301687,-0.000338855789070968
0.000000450000000000,-0.000825781083272357,0.000000003844688407,0.008458230495946234,-0.000381626315322101
0.000000500000000000,-0.001027105579289430,0.000000004409327582,0.009497556968063413,-0.000423526978766281
0.000000550000000000,-0.001249143234563683,0.000000004997834184,0.010538338458976081,-0.000464464759054804
0.000000600000000000,-0.001491389781934529,0.000000005609856151,0.011578253084165550,-0.000504348774967702
0.000000650000000000,-0.001753296090500860,0.000000006244861865,0.012614980894678489,-0.000543090485070747
0.000000700000000000,-0.002034269384930371,0.000000006902123861,0.013646209025444958,-0.000580603884149590
0.000000750000000000,-0.002333674561646768,0.000000007580703248,0.014669636830431720,-0.000616805694142495
0.000000800000000000,-0.002650835599000214,0.000000008279435222,0.015682980991003567,-0.000651615549035389
0.000000850000000000,-0.002985037058293424,0.000000008996916072,0.016683980585847191,-0.000684956173293760
0.000000900000000000,-0.003335525672330633,0.000000009731492106,0.017670402111153324,-0.000716753553433241
0.000000950000000000,-0.003701512017961775,0.000000010481250936,0.018640044439896721,-0.000746937102347683
0.000001000000000000,-0.004082172268907390,0.000000011244015574,0.019590743709193250,-0.000775439816029867
0.000001050000000000,-0.004476650024971363,0.000000012017341778,0.020520378124873166,-0.000802198422336868
0.000001100000000000,-0.004884058213578766,0.000000012798519061,0.021426872672593772,-0.000827153521469812
0.000001150000000000,-0.005303481059415311,0.000000013584575753,0.022308203725022503,-0.000850249717856113
0.000001200000000000,-0.005733976117793541,0.000000014372288445,0.023162403534852747,-0.000871435743141405
0.000001250000000000,-0.006174576367229232,0.000000015158196087,0.023987564603669430,-0.000890664570018097
0.000001300000000000,-0.006624292356579901,0.000000015938618915,0.024781843916957941,-0.000907893516637817
0.000001350000000000,-0.007082114401976105,0.000000016709682305,0.025543467035849164,-0.000923084341375958
0.000001400000000000,-0.007547014828665580,0.000000017467345524,0.026270732036513113,-0.000936203327737901
0.000001450000000000,-0.008017950252790635,0.000000018207435237,0.026962013288454184,-0.000947221359218415
0.000001500000000000,-0.008493863898030543,0.000000018925683507,0.027615765063321019,-0.000956113983948031
0.000001550000000000,-0.008973687941963460,0.000000019617769874,0.028230524966222942,-0.000962861468982848
0.000001600000000000,-0.009456345886936550,0.000000020279366988,0.028804917181941395,-0.000967448844117230
0.000001650000000000,-0.009940754950178873,0.000000020906189135,0.029337655528838515,-0.000969865935122118
0.000001700000000000,-0.010425828467849127,0.000000021494042871,0.029827546313694331,-0.000970107386335132
0.000001750000000000,-0.010910478307679805,0.000000022038878893,0.030273490981148326,-0.000968172672552319
