Latest Results
t,`Main.C1.v`,`Main.DI1_1.i`,`Main.DI1_1.v`,`Main.I1.i`
0.000000000000000000,-0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.000000000000000000
0.000000050000000000,-0.000005016706128083,0.000000000206555720,0.000531576430704025,-0.000026328192784517
0.000000100000000000,-0.000028844593599472,0.000000000563294947,0.001424806994594403,-0.000069798683344693
0.000000150000000000,-0.000075122651369251,0.000000000959799125,0.002382873254083022,-0.000115388489934813
0.000000200000000000,-0.000144230667279677,0.000000001381416199,0.003364319016804514,-0.000161005798892441
0.000000250000000000,-0.000236069743607621,0.000000001826503635,0.004361710640751562,-0.000206283871360832
0.000000300000000000,-0.000350433440247155,0.000000002295152856,0.005372123273749984,-0.000251086786827997
0.000000350000000000,-0.000487057699649441,0.000000002787621627,0.006393209174672980,-0.000295310361372803
0.000000400000000000,-0.000645628030004025,0.000000003304104372,0.007422677729334641,-0.000338855789070903
0.000000450000000000,-0.000825781083277841,0.000000003844686871,0.008458230495981064,-0.000381626315322032
0.000000500000000000,-0.001027105579295695,0.000000004409325983,0.009497556968100203,-0.000423526978766208
0.000000550000000000,-0.001249143234570762,0.000000004997832520,0.010538338459014918,-0.000464464759054728
0.000000600000000000,-0.001491389781942456,0.000000005609854419,0.011578253084206522,-0.000504348774967622
0.000000650000000000,-0.001753296090509672,0.000000006244860062,0.012614980894721685,-0.000543090485070663
0.000000700000000000,-0.002034269384940104,0.000000006902121985,0.013646209025490470,-0.000580603884149503
0.000000750000000000,-0.002333674561657461,0.000000007580701295,0.014669636830479641,-0.000616805694142404
0.000000800000000000,-0.002650835599011910,0.000000008279433191,0.015682980991053988,-0.000651615549035295
0.000000850000000000,-0.002985037058306161,0.000000008996913961,0.016683980585900204,-0.000684956173293663
0.000000900000000000,-0.003335525672344450,0.000000009731489912,0.017670402111209009,-0.000716753553433140
0.000000950000000000,-0.003701512017976714,0.000000010481248657,0.018640044439955167,-0.000746937102347579
0.000001000000000000,-0.004082172268923495,0.000000011244013208,0.019590743709254538,-0.000775439816029761
0.000001050000000000,-0.004476650024988683,0.000000012017339324,0.020520378124937375,-0.000802198422336759
0.000001100000000000,-0.004884058213597334,0.000000012798516518,0.021426872672660979,-0.000827153521469700
0.000001150000000000,-0.005303481059435181,0.000000013584573119,0.022308203725092773,-0.000850249717855999
