Latest Results
t,`Main.C2.v`,`Main.DI1_2.i`,`Main.DI1_2.v`,`Main.I2.i`
0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.000000000000000000
0.000000050000000000,-0.000005017176428053,0.000000000206542133,0.000531538989081265,-0.000026326297174793
0.000000100000000000,-0.000028844716773098,0.000000000563292135,0.001424797190108018,-0.000069798186958881
0.000000150000000000,-0.000075122672084913,0.000000000959799652,0.002382871618293441,-0.000115388407110078
0.000000200000000000,-0.000144230666169439,0.000000001381417533,0.003364319177643891,-0.000161005806991255
0.000000250000000000,-0.000236069742294273,0.000000001826505254,0.004361711318098580,-0.000206283905295470
0.000000300000000000,-0.000350433430099845,0.000000002295154618,0.005372124114698294,-0.000251086829384540
0.000000350000000000,-0.000487057687358939,0.000000002787623533,0.006393210166149892,-0.000295310411563081
0.000000400000000000,-0.000645628015843326,0.000000003304106433,0.007422678873141145,-0.000338855846971324
0.000000450000000000,-0.000825781066653642,0.000000003844689109,0.008458231815948077,-0.000381626382153831
0.000000500000000000,-0.001027105560753525,0.000000004409328398,0.009497558441457561,-0.000423527053363600
0.000000550000000000,-0.001249143214374283,0.000000004997835114,0.010538340070003918,-0.000464464840616595
0.000000600000000000,-0.001491389759846766,0.000000005609857209,0.011578254845347595,-0.000504348864132250
0.000000650000000000,-0.001753296066863671,0.000000006244863046,0.012614982783826613,-0.000543090580711193
0.000000700000000000,-0.002034269359500963,0.000000006902125181,0.013646211055354907,-0.000580603986917878
0.000000750000000000,-0.002333674534203483,0.000000007580704724,0.014669639013755708,-0.000616805804682335
0.000000800000000000,-0.002650835570255985,0.000000008279436833,0.015682983283212926,-0.000651615665084680
0.000000850000000000,-0.002985037027689417,0.000000008996917851,0.016683983020881317,-0.000684956296577446
0.000000900000000000,-0.003335525640464107,0.000000009731494033,0.017670404650023359,-0.000716753681971995
0.000000950000000000,-0.003701511984779145,0.000000010481253019,0.018640047084376974,-0.000746937236232910
0.000001000000000000,-0.004082172234356172,0.000000011244017823,0.019590746461906918,-0.000775439955395361
0.000001050000000000,-0.004476649988929520,0.000000012017344208,0.020520380993770859,-0.000802198567586275
0.000001100000000000,-0.004884058176340028,0.000000012798521660,0.021426875636191028,-0.000827153671514210
0.000001150000000000,-0.005303481021335966,0.000000013584578504,0.022308206757714187,-0.000850249871397415
0.000001200000000000,-0.005733976078386441,0.000000014372291385,0.023162406670681875,-0.000871435901906156
0.000001250000000000,-0.006174576327194769,0.000000015158199171,0.023987567791262945,-0.000890664731402580
0.000001300000000000,-0.006624292315436656,0.000000015938622181,0.024781847190927058,-0.000907893682396701
0.000001350000000000,-0.007082114360274071,0.000000016709685715,0.025543470355205634,-0.000923084509432294
0.000001400000000000,-0.007547014786397443,0.000000017467349079,0.026270735401031711,-0.000936203498080792
0.000001450000000000,-0.008017950209841406,0.000000018207438945,0.026962016706484349,-0.000947221532271093
0.000001500000000000,-0.008493863854503963,0.000000018925687360,0.027615768526811049,-0.000956114159302714
0.000001550000000000,-0.008973687898012254,0.000000019617773857,0.028230528463304694,-0.000962861646038479
0.000001600000000000,-0.009456345842700144,0.000000020279371087,0.028804920701644594,-0.000967449022318310
0.000001650000000000,-0.009940754905772823,0.000000020906193335,0.029337659061975607,-0.000969866114003474
0.000001700000000000,-0.010425828423373395,0.000000021494047158,0.029827549852291045,-0.000970107565493040
0.000001750000000000,-0.010910478263229195,0.000000022038883251,0.030273494517654934,-0.000968172851604538
0.000001800000000000,-0.011393617240531074,0.000000022536848591,0.030674492078666144,-0.000964066278755344
0.000001850000000000,-0.011874161531687275,0.000000022984337822,0.031029641353347036,-0.000957796975420810
0.000001900000000000,-0.012351033080595614,0.000000023378042835,0.031338142957345071,-0.000949378871880308
0.000001950000000000,-0.012823161992092803,0.000000023714999480,0.031599301077975650,-0.000938830669293622
0.000002000000000000,-0.013289488907267532,0.000000023992630379,0.031812525018214619,-0.000926175798177733
0.000002050000000000,-0.013748967355364804,0.000000024208782871,0.031977330507271459,-0.000911442366378204
0.000002100000000000,-0.014200566077061844,0.000000024361761217,0.032093340774838851,-0.000894663096650067
0.000002150000000000,-0.014643271313961266,0.000000024450352280,0.032160287386517633,-0.000875875253980098
0.000002200000000000,-0.015076089059301488,0.000000024473844091,0.032178010831894588,-0.000855120562473746
0.000002250000000000,-0.015498047264384567,0.000000024432036878,0.032146460906834373,-0.000832445114159368
0.000002300000000000,-0.015908197996854705,0.000000024325246186,0.032065696802008992,-0.000807899265503901
0.000002350000000000,-0.016305619545205544,0.000000024154298112,0.031935886967542237,-0.000781537525414947
0.000002400000000000,-0.016689418465095304,0.000000023920516717,0.031757308732050196,-0.000753418433864462
0.000002450000000000,-0.017058731562966528,0.000000023625703943,0.031530347674902058,-0.000723604431300719
0.000002500000000000,-0.017412727810941105,0.000000023272112691,0.031255496906455529,-0.000692161726888412
0.000002550000000000,-0.017750610194437935,0.000000022862413040,0.030933355723045654,-0.000659160138843426
0.000002600000000000,-0.018071617478835188,0.000000022399653526,0.030564628538460169,-0.000624672952634775
0.000002650000000000,-0.018375025901977819,0.000000021887217096,0.030150123080979318,-0.000588776746167171
0.000002700000000000,-0.018660150778674219,0.000000021328773959,0.029690748830006386,-0.000551551231340568
0.000002750000000000,-0.018926348022472263,0.000000020728231266,0.029187514830567127,-0.000513079068636009
0.000002800000000000,-0.019173015575165691,0.000000020089681466,0.028641527500304076,-0.000473445685938385
0.000002850000000000,-0.019399594743196337,0.000000019417350085,0.028053988202015771,-0.000432739090291057
0.000002900000000000,-0.019605571438120313,0.000000018715543936,0.027426190575976315,-0.000391049672436736
0.000002950000000000,-0.019790477318502673,0.000000017988600686,0.026759517614031038,-0.000348470003377104
