Latest Results
t,`Main.RPPV1.xP`,`Main.RPPV1.yP`,`Main.SP1.psi`,`Main.SS1.h1`,`Main.SS1.h2`
0.000000000000000000,0.707106781186547462,0.707106781186547573,-2.356194490192344837,327.094923714839978857,0.000000000000000000
0.000759627000000000,0.715117354924061810,0.699004412494236949,-2.344800672814476350,327.144985576277235850,-0.000000000000000444
0.001519254000000000,0.723034302985538058,0.690812128372263912,-2.333408000187350950,327.199078564607361841,-0.000000000000000444
0.002278881000000000,0.730856656887486467,0.682530986170772236,-2.322016426984652604,327.257153549943552662,-0.000000000000000444
0.003038508000000000,0.738583459044974466,0.674162053237321035,-2.310625908435888221,327.319160991627938984,0.000000000000000444
0.003798135000000000,0.746213762871366981,0.665706406835141706,-2.299236400332013375,327.385050942442262567,0.000000000000000000
0.004557762000000000,0.753746632879049416,0.657165134059541689,-2.287847859029886077,327.454773052165421632,0.000000000000000000
0.005317389000000000,0.761181144779464192,0.648539331754230841,-2.276460241458006628,327.528276571702804176,0.000000000000000000
0.006077015999999999,0.768516385584211426,0.639830106425588352,-2.265073505120906994,327.605510357181969994,0.000000000000000222
0.006836642999999999,0.775751453705769256,0.631038574156434384,-2.253687608104330220,327.686422873597621219,0.000000000000000000
0.007596269999999999,0.782885459058463629,0.622165860518574809,-2.242302509080251305,327.770962199549671823,0.000000000000000000
0.008355896999999999,0.789917523160099444,0.613213100483521734,-2.230918167311020994,327.859076030677499602,-0.000000000000000444
0.009115524000000000,0.796846779232802671,0.604181438333145859,-2.219534542654925779,327.950711684378291011,0.000000000000000222
0.009875151000000000,0.803672372305022753,0.595072027567770001,-2.208151595570011061,328.045816103910908623,-0.000000000000000444
0.010634778000000001,0.810393459312829689,0.585886030814001368,-2.196769287119134439,328.144335862385219116,0.000000000000000444
0.011394405000000002,0.817009209201572495,0.576624619730914056,-2.185387578974509637,328.246217167813711058,0.000000000000000222
0.012154032000000002,0.823518803027952551,0.567288974914380129,-2.174006433421555418,328.351405866712241277,0.000000000000000000
0.012913659000000003,0.829921434061304253,0.557880285801199638,-2.162625813364101646,328.459847449152164245,0.000000000000000222
0.013673286000000003,0.836216307885832011,0.548399750570500610,-2.151245682327888264,328.571487053186331195,-0.000000000000000444
0.014432913000000004,0.842402642502154353,0.538848576044687610,-2.139866004465172722,328.686269468995021725,0.000000000000000222
0.015192540000000004,0.848479668428933076,0.529227977588796694,-2.128486744559078048,328.804139144376961212,0.000000000000000444
0.015952167000000003,0.854446628804930275,0.519539179007598828,-2.117107868026937734,328.925040188626837789,-0.000000000000000444
0.016711794000000002,0.860302779490139002,0.509783412442520900,-2.105729340925132753,329.048916377670309430,-0.000000000000000444
0.017471421000000001,0.866047389167528436,0.499961918265889149,-2.094351129952475965,329.175711159221464186,0.000000000000000000
0.018231048000000000,0.871679739444359725,0.490075944974055155,-2.082973202454038386,329.305367656843600344,0.000000000000000000
0.018990674999999999,0.877199124953029430,0.480126749079489989,-2.071595526425507039,329.437828675897321773,0.000000000000000000
0.019750301999999997,0.882604853452429117,0.470115595000012931,-2.060218070516005362,329.573036707985409066,0.000000000000000000
0.020509928999999996,0.887896245928307626,0.460043754947742134,-2.048840804032367124,329.710933935855166510,0.000000000000000000
0.021269555999999995,0.893072636693700628,0.449912508815837942,-2.037463696942670044,329.851462239519207742,-0.000000000000000444
0.022029182999999994,0.898133373489323761,0.439723144063042082,-2.026086719879081066,329.994563200422476257,0.000000000000000222
0.022788809999999993,0.903077817582980780,0.429476955597806853,-2.014709844142041906,330.140178107209521841,0.000000000000000444
0.023548436999999992,0.907905343869166215,0.419175245659629936,-2.003333041703141415,330.288247961604895409,0.000000000000000000
0.024308063999999990,0.912615340968130795,0.408819323698895620,-1.991956285208157817,330.438713482757918882,0.000000000000000444
0.025067690999999989,0.917207211324139737,0.398410506255790109,-1.980579547980907185,330.591515113781952095,0.000000000000000000
0.025827317999999988,0.921680371303856161,0.387950116836154324,-1.969202804025561804,330.746593027141557286,0.000000000000000666
0.026586944999999987,0.926034251293768818,0.377439485786515372,-1.957826028029927334,330.903887129560303038,-0.000000000000000444
0.027346571999999986,0.930268295797029743,0.366879950167476487,-1.946449195368777474,331.063337069029103077,0.000000000000000222
0.028106198999999985,0.934381963530171111,0.356272853624159835,-1.935072282105859687,331.224882239875171308,-0.000000000000000444
